Hour,Count
9/23/2014 4,383
9/23/2014 5,848
9/23/2014 6,1429
9/23/2014 7,1754
9/23/2014 8,1484
9/23/2014 9,1201
9/23/2014 10,1075
9/23/2014 11,1065
9/23/2014 12,1039
9/23/2014 13,1207
9/23/2014 14,1484
9/23/2014 15,1725
9/23/2014 16,1913
9/23/2014 17,2181
9/23/2014 18,2335
9/23/2014 19,2264
9/23/2014 20,2062
9/23/2014 21,1845
9/23/2014 22,1409
9/23/2014 23,750
9/24/2014 0,413
9/24/2014 1,220
9/24/2014 2,145
9/24/2014 3,267
9/24/2014 4,423
9/24/2014 5,804
9/24/2014 6,1410
9/24/2014 7,1741
9/24/2014 8,1536
9/24/2014 9,1245
9/24/2014 10,1176
9/24/2014 11,1242
9/24/2014 12,1122
9/24/2014 13,1349
9/24/2014 14,1659
9/24/2014 15,1924
9/24/2014 16,2127
9/24/2014 17,2302
9/24/2014 18,2271
9/24/2014 19,2001
9/24/2014 20,2005
9/24/2014 21,1816
9/24/2014 22,1350
9/24/2014 23,753
9/25/2014 0,382
9/25/2014 1,233
9/25/2014 2,181
9/25/2014 3,289
9/25/2014 4,436
9/25/2014 5,811
9/25/2014 6,1737
9/25/2014 7,2560
9/25/2014 8,2300
9/25/2014 9,2118
9/25/2014 10,1740
9/25/2014 11,1673
9/25/2014 12,1585
9/25/2014 13,1636
9/25/2014 14,1776
9/25/2014 15,2069
9/25/2014 16,2422
9/25/2014 17,2582
9/25/2014 18,2518
9/25/2014 19,2220
9/25/2014 20,2045
9/25/2014 21,2108
9/25/2014 22,1728
9/25/2014 23,1054
9/26/2014 0,606
9/26/2014 1,346
9/26/2014 2,239
9/26/2014 3,340
9/26/2014 4,406
9/26/2014 5,684
9/26/2014 6,1163
9/26/2014 7,1525
9/26/2014 8,1340
9/26/2014 9,1232
9/26/2014 10,1190
9/26/2014 11,1207
9/26/2014 12,1266
9/26/2014 13,1410
9/26/2014 14,1738
9/26/2014 15,2038
9/26/2014 16,2299
9/26/2014 17,2626
9/26/2014 18,3039
9/26/2014 19,2782
9/26/2014 20,2440
9/26/2014 21,2686
9/26/2014 22,2547
9/26/2014 23,2355
9/27/2014 0,1686
9/27/2014 1,1232
9/27/2014 2,751
9/27/2014 3,527
9/27/2014 4,361
9/27/2014 5,422
9/27/2014 6,530
9/27/2014 7,679
9/27/2014 8,871
9/27/2014 9,1091
9/27/2014 10,1276
9/27/2014 11,1434
9/27/2014 12,1459
9/27/2014 13,1712
9/27/2014 14,1889
9/27/2014 15,2230
9/27/2014 16,2438
9/27/2014 17,2562
9/27/2014 18,2787
9/27/2014 19,2683
9/27/2014 20,2366
9/27/2014 21,2863
9/27/2014 22,2909
9/27/2014 23,2710
9/28/2014 0,2087
9/28/2014 1,1410
9/28/2014 2,982
9/28/2014 3,659
9/28/2014 4,416
9/28/2014 5,477
9/28/2014 6,445
9/28/2014 7,589
